priority,plane,weight,aggressiveness,targetDistance,distance,numberOfPreviousConcurrentBackwardDecisions,maxNumberOfTicksForMovement,shouldContinueMoving,priority,plane,weight,
Normal,Base,16,8,3,10,0,20,False,Normal,Base,16,
Movement,Base,100,8,3,9,1,20,True,Movement,Base,100,
Movement,Base,100,8,3,9,2,20,True,Movement,Base,100,
Movement,Base,100,8,3,9,3,20,True,Movement,Base,100,
Movement,Base,100,8,3,9,4,20,True,Movement,Base,100,
Movement,Base,100,8,3,9,5,20,True,Movement,Base,100,
Movement,Base,100,8,3,9,6,20,True,Movement,Base,100,
Movement,Base,100,8,3,8,7,20,True,Movement,Base,100,
Movement,Base,100,8,3,8,8,20,True,Movement,Base,100,
Movement,Base,100,8,3,8,9,20,True,Movement,Base,100,
Movement,Base,100,8,3,8,10,20,True,Movement,Base,100,
Movement,Base,100,8,3,8,11,20,True,Movement,Base,100,
Movement,Base,100,8,3,8,12,20,True,Movement,Base,100,
Movement,Base,100,8,3,7,13,20,True,Movement,Base,100,
Movement,Base,100,8,3,7,14,20,True,Movement,Base,100,
Movement,Base,100,8,3,7,15,20,True,Movement,Base,100,
Movement,Base,100,8,3,7,16,20,True,Movement,Base,100,
Movement,Base,100,8,3,7,17,20,True,Movement,Base,100,
Movement,Base,100,8,3,7,18,20,True,Movement,Base,100,
Movement,Base,100,8,3,6,19,20,True,Movement,Base,100,
Normal,Base,16,8,3,6,20,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,5,0,20,False,Normal,Base,16,
Movement,Base,100,8,3,5,1,20,True,Movement,Base,100,
Movement,Base,100,8,3,5,2,20,True,Movement,Base,100,
Movement,Base,100,8,3,5,3,20,True,Movement,Base,100,
Movement,Base,100,8,3,5,4,20,True,Movement,Base,100,
Movement,Base,100,8,3,5,5,20,True,Movement,Base,100,
Movement,Base,100,8,3,5,6,20,True,Movement,Base,100,
Movement,Base,100,8,3,4,7,20,True,Movement,Base,100,
Movement,Base,100,8,3,4,8,20,True,Movement,Base,100,
Movement,Base,100,8,3,4,9,20,True,Movement,Base,100,
Movement,Base,100,8,3,4,10,20,True,Movement,Base,100,
Movement,Base,100,8,3,4,11,20,True,Movement,Base,100,
Movement,Base,100,8,3,4,12,20,True,Movement,Base,100,
None,Base,100,8,3,3,13,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,2,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
None,Base,100,8,3,3,0,20,False,None,Base,100,
Normal,Base,16,8,3,4,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,4,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,4,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,4,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,5,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,5,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,5,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,5,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,6,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,7,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,7,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,7,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,7,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,7,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,8,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,
Normal,Base,16,8,3,9,0,20,False,Normal,Base,16,

