priority,plane,weight,numberOfPreviousConcurrentDecisions,maxNumberOfTicksForMovement,shouldContinueMoving,evasiveness,arenaOverride,oppositeSideArenaOverride,botInitiatorOverride,priority,plane,weight,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Movement,Base,100,1,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,2,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,3,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,4,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,5,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,6,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,7,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,8,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,9,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,10,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,11,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,12,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,13,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,14,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,15,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,16,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,17,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,18,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,19,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,20,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,21,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,22,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,23,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,24,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,25,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,26,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,27,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,28,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,29,30,True,5,False,False,False,Movement,Base,100,
Normal,Base,5,30,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Normal,Base,5,0,30,False,5,False,False,False,Normal,Base,5,
Movement,Base,100,1,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,2,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,3,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,4,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,5,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,6,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,7,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,8,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,9,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,10,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,11,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,12,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,13,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,14,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,15,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,16,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,17,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,18,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,19,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,20,30,True,5,False,False,False,Movement,Base,100,
Movement,Base,100,21,30,True,5,False,False,False,Movement,Base,100,
None,Base,100,22,30,True,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,
None,Base,100,0,30,False,5,True,False,False,None,Base,100,

