DecisionMoveBackwards,DecisionMoveForward,DecisionMoveLeft,DecisionMoveRight,DecisionSimBotStatus,DecisionStartWeaponFrontCharge,DecisionStartWeaponLeftCharge,DecisionStartWeaponRightCharge,DecisionStartWeaponTopCharge,DecisionStunned,DecisionWeaponChargeFront,DecisionWeaponChargeLeft,DecisionWeaponChargeRight,DecisionWeaponChargeTop,DecisionWeaponCoolDownFront,DecisionWeaponCoolDownLeft,DecisionWeaponCoolDownRight,DecisionWeaponCoolDownTop,DecisionWeaponFront,DecisionWeaponHold,DecisionWeaponLeft,DecisionWeaponRight,DecisionWeaponTop,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Movement,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,PoweringWeapon,None,None,None,None,None,None,None,None,None,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,
Normal,None,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,CooldownWeapon,CooldownWeapon,CooldownWeapon,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,FireWeapon,None,None,None,
Normal,Normal,Normal,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Movement,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Movement,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Movement,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Movement,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
Normal,Normal,Movement,None,None,None,None,Normal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
