priority,plane,weight,aggressiveness,distance,isMeleeWeapon,meleeDistance,isWithinMeleeRange,priority,plane,weight,
Normal,Base,8,8,10,False,0,False,Normal,Base,8,
Normal,Base,8,8,9,False,0,False,Normal,Base,8,
Normal,Base,8,8,9,False,0,False,Normal,Base,8,
Normal,Base,8,8,9,False,0,False,Normal,Base,8,
Normal,Base,8,8,9,False,0,False,Normal,Base,8,
Normal,Base,8,8,9,False,0,False,Normal,Base,8,
Normal,Base,8,8,9,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,2,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,3,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,4,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,5,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,6,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,7,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
Normal,Base,8,8,8,False,0,False,Normal,Base,8,
